,model,trials,sn,sp,acc,MCC,ROC
0,rf,loop-1,0.9451219512195121,0.9166666666666666,0.93125,0.8625981893356166,0.9803392745465915
1,rf,loop-2,0.9259259259259259,0.9113924050632911,0.91875,0.8375146771827916,0.9554227223003594
2,rf,loop-3,0.9139072847682119,0.9171597633136095,0.915625,0.830790370215852,0.9666131117990517
3,rf,loop-4,0.9072847682119205,0.9349112426035503,0.921875,0.8432375248252051,0.9711587444649085
4,rf,loop-5,0.9011627906976745,0.8783783783783784,0.890625,0.7799242397775463,0.9542740414833438
5,rf,loop-mean,0.918680544164649,0.911701691205099,0.915625,0.8308130002674023,0.965561578918851
6,rf,All,0.905,0.87,0.8875,0.7754751240648233,0.94505
7,SVM,loop-1,0.8719512195121951,0.8717948717948718,0.871875,0.7436443645533812,0.9449265165728581
8,SVM,loop-2,0.8888888888888888,0.8670886075949367,0.878125,0.7562878047899354,0.9385841537740272
9,SVM,loop-3,0.9271523178807947,0.8461538461538461,0.884375,0.7726252435049578,0.9491751244171011
10,SVM,loop-4,0.8807947019867549,0.8816568047337278,0.88125,0.7619739110854925,0.9485481406011207
11,SVM,loop-5,0.8604651162790697,0.8716216216216216,0.865625,0.7307245014600651,0.9352215587680703
12,SVM,loop-mean,0.8858504489095406,0.8676631503798008,0.87625,0.7530511650787663,0.9432910988266354
13,svm,All,0.82,0.815,0.8175,0.6350079376488312,0.9134
14,mlp,loop-1,0.8719512195121951,0.8269230769230769,0.85,0.7000244371158196,0.9322623514696685
15,mlp,loop-2,0.8703703703703703,0.8670886075949367,0.86875,0.7374589779653071,0.9276840131270511
16,mlp,loop-3,0.8807947019867549,0.8520710059171598,0.865625,0.7317625440637369,0.9395744347349034
17,mlp,loop-4,0.8079470198675497,0.9289940828402367,0.871875,0.7456855623201898,0.9456875269407109
18,mlp,loop-5,0.8546511627906976,0.8513513513513513,0.853125,0.7051305041949835,0.9279934003771213
19,mlp,loop-mean,0.8571428949055135,0.8652856249253522,0.8618750000000001,0.7240124051320074,0.934640345329891
20,mlp,All,0.79,0.83,0.81,0.6204965959947126,0.9038750000000001
21,DT,loop-1,0.8292682926829268,0.8782051282051282,0.853125,0.7075978920653172,0.8537367104440274
22,DT,loop-2,0.8148148148148148,0.8291139240506329,0.821875,0.6438910060864832,0.8219643694327239
23,DT,loop-3,0.7615894039735099,0.8757396449704142,0.821875,0.643601687283649,0.818664524471962
24,DT,loop-4,0.8211920529801324,0.7988165680473372,0.809375,0.619075338048147,0.8100043105137348
25,DT,loop-5,0.8197674418604651,0.7837837837837838,0.803125,0.603847813945889,0.8017756128221245
26,DT,loop-mean,0.8093264012623699,0.8331318098114593,0.821875,0.643602747485897,0.8212291055369146
27,DT,All,0.81,0.83,0.82,0.6401280384128045,0.8200000000000001
28,xgboost,loop-1,0.9512195121951219,0.9423076923076923,0.946875,0.8936844095366382,0.9799874921826142
29,xgboost,loop-2,0.9506172839506173,0.930379746835443,0.940625,0.8813586562280642,0.9586654164713236
30,xgboost,loop-3,0.9072847682119205,0.9289940828402367,0.91875,0.836935039195844,0.9679062659195109
31,xgboost,loop-4,0.9536423841059603,0.9585798816568047,0.95625,0.912222265762765,0.9779771934636937
32,xgboost,loop-5,0.936046511627907,0.8986486486486487,0.91875,0.8365374661980609,0.9680232558139534
33,xgboost,loop-mean,0.9397620920183053,0.9317820104577651,0.93625,0.8721475673842743,0.9705119247702191
34,xgboost,All,0.905,0.895,0.9,0.80004000300025,0.949325
